รายงานสรุปผลการประเมินความพึงพอใจฐานกิจกรรมอบรม
วันที่ออกรายงาน,16/9/2569 09:51:27
ยอดผู้เข้าร่วมกดคะแนนทั้งหมด,113 คน

อันดับ,รหัสฐาน,ชื่อฐานกิจกรรม,ชื่อแผนก,จำนวนคะแนนที่ได้ (ไลค์),ร้อยละ (%)
"1","ฐาน C","การใช้งานตะกร้า","PUR+PN+WH+DL+ST","28","24.78%"
"2","ฐาน E","กฎระเบียบในการทำงาน","HR","26","23.01%"
"3","ฐาน A","อันตรายทางด้านอาหาร","PD + QA Process","22","19.47%"
"4","ฐาน F","สุขลักษณะส่วนบุคคล","QA Sanitation","17","15.04%"
"5","ฐาน B","ความปลอดภัยในการทำงาน","Safety+EN","10","8.85%"
"6","ฐาน D","มาตรฐานสินค้า","RD","10","8.85%"


ประวัติการบันทึกคะแนนทั้งหมด (Audit Log)
ลำดับ,ฐานกิจกรรมที่ได้รับไลค์,วันและเวลาที่บันทึก
"70","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:45:56"
"71","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:45:51"
"72","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:45:47"
"73","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:45:44"
"74","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:45:39"
"75","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:45:35"
"76","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:45:29"
"77","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:45:22"
"78","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:45:13"
"79","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:45:07"
"80","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:45:03"
"81","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:44:58"
"82","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:44:54"
"83","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:44:51"
"84","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:44:45"
"85","ฐาน B: ความปลอดภัยในการทำงาน (Safety+EN)","16/9/2569 09:44:41"
"86","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:44:38"
"87","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:44:34"
"88","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:44:21"
"89","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:44:17"
"90","ฐาน B: ความปลอดภัยในการทำงาน (Safety+EN)","16/9/2569 09:44:12"
"91","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:44:08"
"92","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:44:03"
"93","ฐาน B: ความปลอดภัยในการทำงาน (Safety+EN)","16/9/2569 09:43:54"
"94","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:43:50"
"95","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:43:43"
"96","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:43:39"
"97","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:43:29"
"98","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:43:19"
"99","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:43:09"
"100","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:43:02"
"101","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:41:55"
"102","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:41:44"
"103","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:41:39"
"104","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:41:35"
"105","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:41:30"
"106","ฐาน B: ความปลอดภัยในการทำงาน (Safety+EN)","16/9/2569 09:41:22"
"107","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:41:17"
"108","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:41:14"
"109","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:41:08"
"110","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:41:02"
"111","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:40:53"
"112","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:40:07"
"113","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:40:03"
